,CountryName,CountryCode,IndicatorName,IndicatorCode,Year,Value
5026275,Arab World,ARB,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,4.72449969733611
5026788,Caribbean small states,CSS,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,9.692960267791962
5027295,Central Europe and the Baltics,CEB,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,6.911131207182351
5027870,East Asia & Pacific (all income levels),EAS,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,5.85954848739331
5028456,East Asia & Pacific (developing only),EAP,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,5.302499353704519
5029230,Euro area,EMU,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,7.13248299990191
5029798,Europe & Central Asia (all income levels),ECS,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,7.54133422629917
5030462,Europe & Central Asia (developing only),ECA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,5.4127074041852
5031318,European Union,EUU,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,7.06979787027619
5031899,Fragile and conflict affected situations,FCS,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,0.8586288462196
5032389,Heavily indebted poor countries (HIPC),HPC,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,0.230193317551096
5032961,High income,HIC,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,11.0702804825437
5033557,High income: nonOECD,NOC,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,11.6603932570965
5034136,High income: OECD,OEC,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,10.9778370949351
5034730,Latin America & Caribbean (all income levels),LCN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,2.9333291759501297
5035402,Latin America & Caribbean (developing only),LAC,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,2.38417560728642
5036268,Least developed countries: UN classification,LDC,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,0.268707273387085
5036842,Low & middle income,LMY,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,3.1031744474373104
5037638,Low income,LIC,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,0.270964490008672
5038407,Lower middle income,LMC,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,1.5089926650977
5039190,Middle East & North Africa (all income levels),MEA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,5.962865313004969
5039739,Middle East & North Africa (developing only),MNA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,3.87821927364453
5040528,Middle income,MIC,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,3.42440790514306
5041315,North America,NAC,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,16.731985801731902
5041849,OECD members,OED,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,9.90716840566788
5042441,Other small states,OSS,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,1.54809671563533
5042950,Pacific island small states,PSS,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,1.09799974602997
5043389,Small states,SST,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,3.45979099177518
5043923,South Asia,SAS,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,1.40899707611236
5044712,Sub-Saharan Africa (all income levels),SSF,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,0.8309411188638809
5045321,Sub-Saharan Africa (developing only),SSA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,0.82359608016772
5046127,Upper middle income,UMC,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,5.71056353588949
5046920,World,WLD,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,4.944648930261019
5047563,Afghanistan,AFG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,0.425262104940417
5048422,Albania,ALB,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,1.6070377102568898
5049346,Algeria,DZA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,3.3160378920663
5050297,Andorra,ADO,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,5.9686854699608896
5050525,Angola,AGO,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,1.3540075295675502
5051317,Antigua and Barbuda,ATG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,5.8238043379617
5051859,Argentina,ARG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,4.56204851225823
5052623,Armenia,ARM,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,1.67165692267883
5053556,Aruba,ABW,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,23.922412101710897
5053946,Australia,AUS,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,16.519209916694802
5054644,Austria,AUT,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,7.769983422793371
5055409,Azerbaijan,AZE,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,3.6473791469432
5056394,"Bahamas, The",BHS,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,5.19984401885954
5056960,Bahrain,BHR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,17.947329814228603
5057581,Bangladesh,BGD,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,0.372017165838757
5058511,Barbados,BRB,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,5.58017761812104
5059006,Belarus,BLR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,6.68251039797319
5059972,Belgium,BEL,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,8.849398302495059
5060726,Belize,BLZ,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,1.6709043023393602
5061627,Benin,BEN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,0.509962225664154
5062507,Bermuda,BMU,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,6.07721021002416
5062928,Bhutan,BTN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,0.766205619422981
5063832,Bolivia,BOL,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,1.59949903941542
5064796,Bosnia and Herzegovina,BIH,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,6.196652149747799
5065732,Botswana,BWA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,2.32334500642674
5066618,Brazil,BRA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,2.19139356376845
5067585,Brunei Darussalam,BRN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,24.3920133786297
5068121,Bulgaria,BGR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,6.71438250987163
5069106,Burkina Faso,BFA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,0.119980559825133
5069955,Burundi,BDI,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,0.0213499260634489
5070838,Cabo Verde,CPV,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,0.8590614327922951
5071725,Cambodia,KHM,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,0.308073151562941
5072714,Cameroon,CMR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,0.2680917928895049
5073641,Canada,CAN,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,14.1358133791149
5074236,Cayman Islands,CYM,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,10.3049310710498
5074491,Central African Republic,CAF,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,0.0631278135947735
5075305,Chad,TCD,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,0.0438304243635328
5076119,Chile,CHL,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,2011,4.61644538016156
